 k=    2.0000000000000000      a=   2.0000000000000000      b=   1.0000000000000000      r=   4.0000000000000000     
 x   TT
   4.0000000000000000       -6.6397605460177627E-004
   4.2000000029802322       -5.6161230297606206E-004
   4.4000000059604645       -4.7788508801192782E-004
   4.6000000089406967       -4.0891507710623945E-004
   4.8000000119209290       -3.5172536211689430E-004
   5.0000000149011612       -3.0401079128492486E-004
   5.2000000178813934       -2.6397125281665395E-004
   5.4000000208616257       -2.3018987504884466E-004
   5.6000000238418579       -2.0154314071358623E-004
   5.8000000268220901       -1.7713392357102776E-004
   6.0000000298023224       -1.5624115714436439E-004
   6.2000000327825546       -1.3828168722226220E-004
   6.4000000357627869       -1.2278113015423684E-004
   6.6000000387430191       -1.0935144462799190E-004
   6.8000000417232513       -9.7673548398646384E-005
   7.0000000447034836       -8.7483755020480058E-005
   7.2000000476837158       -7.8563123953223851E-005
   7.4000000506639481       -7.0729047826822479E-005
   7.6000000536441803       -6.3828568799392528E-005
   7.8000000566244125       -5.7733039615088070E-005
   8.0000000596046448       -5.2333836602973308E-005
   8.2000000625848770       -4.7538900234722540E-005
   8.4000000655651093       -4.3269930225396991E-005
   8.6000000685453415       -3.9460100998031165E-005
   8.8000000715255737       -3.6052192876594714E-005
   9.0000000745058060       -3.2997056979010739E-005
   9.2000000774860382       -3.0252349178619458E-005
   9.4000000804662704       -2.7781481962058469E-005
   9.6000000834465027       -2.5552753479052753E-005
   9.8000000864267349       -2.3538621260762511E-005
