 k=    2.0000000000000000      a=   2.0000000000000000      b=   1.0000000000000000      r=   3.0000000000000000     
 x   ST
   3.0000000000000000        1.1926637044179997E-003
   3.2000000029802322        9.8612127643706872E-004
   3.4000000059604645        8.2164427862107636E-004
   3.6000000089406967        6.8947521365780233E-004
   3.8000000119209290        5.8237687111810225E-004
   4.0000000149011612        4.9491943843202909E-004
   4.2000000178813934        4.2298563914875542E-004
   4.4000000208616257        3.6342252270900430E-004
   4.6000000238418579        3.1379333990748203E-004
   4.8000000268220901        2.7219865212839531E-004
   5.0000000298023224        2.3714593838032588E-004
   5.2000000327825546        2.0745357568224595E-004
   5.4000000357627869        1.8217945092431623E-004
   5.6000000387430191        1.6056740600856555E-004
   5.8000000417232513        1.4200671990408537E-004
   6.0000000447034836        1.2600120849607478E-004
   6.2000000476837158        1.1214548106332213E-004
   6.4000000506639481        1.0010656543953640E-004
   6.6000000536441803        8.9609591662104010E-005
   6.8000000566244125        8.0426566081100227E-005
   7.0000000596046448        7.2367515115260214E-005
   7.2000000625848770        6.5273457936107908E-005
   7.4000000655651093        5.9010799595721285E-005
   7.6000000685453415        5.3466833935804797E-005
   7.8000000715255737        4.8546118498681095E-005
   8.0000000745058060        4.4167538332936516E-005
   8.2000000774860382        4.0261916864928353E-005
   8.4000000804662704        3.6770063367221689E-005
   8.6000000834465027        3.3641170521301498E-005
   8.8000000864267349        3.0831493992084282E-005
   9.0000000894069672        2.8303260166551239E-005
   9.2000000923871994        2.6023759266833557E-005
   9.4000000953674316        2.3964589681448283E-005
   9.6000000983476639        2.2101026131305985E-005
   9.8000001013278961        2.0411489625184403E-005
