 k=    5.0000000000000000      a=   2.5000000000000000      b=  0.50000000000000000      r/b=           6
 x   SS-6 b
   0.0000000000000000       -9.1783513814090614E-004
   5.5555555555555558E-003  -9.1747362100113704E-004
   1.1111111111111112E-002  -9.1638760482358873E-004
   1.6666666666666666E-002  -9.1457273222458554E-004
   2.2222222222222223E-002  -9.1202186169611859E-004
   2.7777777777777776E-002  -9.0872524148466255E-004
   3.3333333333333333E-002  -9.0467073918283440E-004
   3.8888888888888890E-002  -8.9984411494917183E-004
   4.4444444444444446E-002  -8.9422932497821553E-004
   5.0000000000000003E-002  -8.8780884172889732E-004
   5.5555555555555552E-002  -8.8056397830381698E-004
   6.1111111111111109E-002  -8.7247520604637684E-004
   6.6666666666666666E-002  -8.6352245659031995E-004
   7.2222222222222215E-002  -8.5368540198720521E-004
   7.7777777777777779E-002  -8.4294370891255352E-004
   8.3333333333333329E-002  -8.3127726513725899E-004
   8.8888888888888892E-002  -8.1866637833809231E-004
   9.4444444444444456E-002  -8.0509194886194016E-004
  0.10000000000000002       -7.9053561924871056E-004
  0.10555555555555558       -7.7497990418708422E-004
  0.11111111111111115       -7.5840830516590797E-004
  0.11666666666666671       -7.4080541443698775E-004
  0.12222222222222227       -7.2215701305676679E-004
  0.12777777777777782       -7.0245016774503322E-004
  0.13333333333333339       -6.8167333109023741E-004
  0.13888888888888895       -6.5981644922751893E-004
  0.14444444444444451       -6.3687108048915604E-004
  0.15000000000000008       -6.1283052764775684E-004
  0.15555555555555564       -5.8768998522265928E-004
  0.16111111111111120       -5.6144670191337145E-004
  0.16666666666666677       -5.3410015662353600E-004
  0.17222222222222233       -5.0565224486790546E-004
  0.17777777777777790       -4.7610747079326052E-004
  0.18333333333333346       -4.4547313880510109E-004
  0.18888888888888902       -4.1375953807809985E-004
  0.19444444444444459       -3.8098011317925601E-004
  0.20000000000000015       -3.4715161467924682E-004
  0.20555555555555571       -3.1229422487342312E-004
  0.21111111111111128       -2.7643165537349728E-004
  0.21666666666666684       -2.3959121510031166E-004
  0.22222222222222240       -2.0180384884868919E-004
  0.22777777777777797       -1.6310414791137278E-004
  0.23333333333333353       -1.2353033513686623E-004
  0.23888888888888909       -8.3124227245510006E-005
  0.24444444444444466       -4.1931177300298130E-005
  0.25000000000000022       -2.3734068310325817E-014
  0.25555555555555576        4.2617117721929266E-005
  0.26111111111111135        8.5864719420462307E-005
  0.26666666666666689        1.2968419293005003E-004
  0.27222222222222248        1.7401389503182891E-004
  0.27777777777777801        2.1878928580632576E-004
  0.28333333333333360        2.6394307239740637E-004
  0.28888888888888914        3.0940536189979215E-004
  0.29444444444444473        3.5510382321633224E-004
  0.30000000000000027        4.0096385778654406E-004
  0.30555555555555586        4.4690877909981866E-004
  0.31111111111111139        4.9286000088611987E-004
  0.31666666666666698        5.3873723383271455E-004
  0.32222222222222252        5.8445869061464527E-004
  0.32777777777777811        6.2994129895571106E-004
  0.33333333333333365        6.7510092235891796E-004
  0.33888888888888924        7.1985258806529524E-004
  0.34444444444444478        7.6411072171914866E-004
  0.35000000000000037        8.0778938813866677E-004
  0.35555555555555590        8.5080253751429653E-004
  0.36111111111111149        8.9306425628508154E-004
  0.36666666666666703        9.3448902187526553E-004
  0.37222222222222262        9.7499196041129609E-004
  0.37777777777777816        1.0144891064831267E-003
  0.38333333333333375        1.0528976639633798E-003
  0.38888888888888928        1.0901362668553462E-003
  0.39444444444444487        1.1261252391039501E-003
  0.40000000000000041        1.1607868522756982E-003
  0.40555555555555600        1.1940455799920348E-003
  0.41111111111111154        1.2258283479874106E-003
  0.41666666666666713        1.2560647786575246E-003
  0.42222222222222267        1.2846874289666980E-003
  0.42777777777777826        1.3116320205920637E-003
  0.43333333333333379        1.3368376612035032E-003
  0.43888888888888938        1.3602470558019778E-003
  0.44444444444444492        1.3818067070762196E-003
  0.45000000000000051        1.4014671037767385E-003
  0.45555555555555605        1.4191828961590150E-003
  0.46111111111111164        1.4349130576002604E-003
  0.46666666666666717        1.4486210315615962E-003
  0.47222222222222276        1.4602748631327490E-003
  0.47777777777777830        1.4698473144751226E-003
  0.48333333333333389        1.4773159635571938E-003
  0.48888888888888943        1.4826632856614732E-003
  0.49444444444444502        1.4858767172334752E-003
