 k=    2.0000000000000000      a=   1.0000000000000000      b=  0.50000000000000000      r/b=   4.0000000000000000     
 x   TT
   4.0000000000000000       -1.0255620280935339E-004
   4.1000000014901161       -9.6968569404260922E-005
   4.2000000029802322       -9.1748403906552833E-005
   4.3000000044703484       -8.6867492705989621E-005
   4.4000000059604645       -8.2300091865279443E-005
   4.5000000074505806       -7.8022684987003174E-005
   4.6000000089406967       -7.4013767306032417E-005
   4.7000000104308128       -7.0253652903758625E-005
   4.8000000119209290       -6.6724302338210897E-005
   4.9000000134110451       -6.3409168327109970E-005
   5.0000000149011612       -6.0293057417141402E-005
   5.1000000163912773       -5.7362005829040684E-005
   5.2000000178813934       -5.4603167890213348E-005
   5.3000000193715096       -5.2004715659433847E-005
   5.4000000208616257       -4.9555748515811435E-005
   5.5000000223517418       -4.7246211630194605E-005
   5.6000000238418579       -4.5066822364494432E-005
   5.7000000253319740       -4.3009003755601334E-005
   5.8000000268220901       -4.1064824337824027E-005
   5.9000000283122063       -3.9226943642967335E-005
   6.0000000298023224       -3.7488562791884124E-005
   6.1000000312924385       -3.5843379656963625E-005
   6.2000000327825546       -3.4285548132737490E-005
   6.3000000342726707       -3.2809641102612923E-005
   6.4000000357627869       -3.1410616734562331E-005
   6.5000000372529030       -3.0083787778168162E-005
   6.6000000387430191       -2.8824793570399393E-005
   6.7000000402331352       -2.7629574488452960E-005
   6.8000000417232513       -2.6494348615422131E-005
   6.9000000432133675       -2.5415590408887392E-005
   7.0000000447034836       -2.4390011184134401E-005
   7.1000000461935997       -2.3414541242917929E-005
   7.2000000476837158       -2.2486313495791427E-005
   7.3000000491738319       -2.1602648441259995E-005
   7.4000000506639481       -2.0761040378606346E-005
   7.5000000521540642       -1.9959144743374956E-005
   7.6000000536441803       -1.9194766465347157E-005
   7.7000000551342964       -1.8465849258544890E-005
   7.8000000566244125       -1.7770465761491987E-005
   7.9000000581145287       -1.7106808453753678E-005
   8.0000000596046448       -1.6473181281766297E-005
   8.1000000610947609       -1.5867991933247603E-005
   8.2000000625848770       -1.5289744705123220E-005
   8.3000000640749931       -1.4737033914983026E-005
   8.4000000655651093       -1.4208537810655023E-005
   8.5000000670552254       -1.3703012936606668E-005
   8.6000000685453415       -1.3219288919602454E-005
   8.7000000700354576       -1.2756263639404070E-005
   8.8000000715255737       -1.2312898753333761E-005
   8.9000000730156898       -1.1888215546265138E-005
   9.0000000745058060       -1.1481291080089049E-005
   9.1000000759959221       -1.1091254618951780E-005
   9.2000000774860382       -1.0717284308601876E-005
   9.3000000789761543       -1.0358604090031596E-005
   9.4000000804662704       -1.0014480829278827E-005
   9.5000000819563866       -9.6842216467808165E-006
   9.6000000834465027       -9.3671714310585817E-006
   9.7000000849366188       -9.0627105227731830E-006
   9.8000000864267349       -8.7702525563443604E-006
   9.9000000879168510       -8.4892424473690568E-006
   10.000000089406967       -8.2191545150326085E-006
   10.100000090897083       -7.9594907295759861E-006
