 k=    2.0000000000000000      a=   1.0000000000000000      b=  0.50000000000000000      r/b=           5
 x   SS-5b
   0.0000000000000000       -4.2769852550324123E-005
   5.5555555555555558E-003  -4.2745816240943310E-005
   1.1111111111111112E-002  -4.2673723303038567E-005
   1.6666666666666666E-002  -4.2553621728474352E-005
   2.2222222222222223E-002  -4.2385591573544797E-005
   2.7777777777777776E-002  -4.2169745063494254E-005
   3.3333333333333333E-002  -4.1906226738335520E-005
   3.8888888888888890E-002  -4.1595213639475777E-005
   4.4444444444444446E-002  -4.1236915536549211E-005
   5.0000000000000003E-002  -4.0831575193763702E-005
   5.5555555555555552E-002  -4.0379468674997914E-005
   6.1111111111111109E-002  -3.9880905686840619E-005
   6.6666666666666666E-002  -3.9336229958739975E-005
   7.2222222222222215E-002  -3.8745819659429620E-005
   7.7777777777777779E-002  -3.8110087848818239E-005
   8.3333333333333329E-002  -3.7429482964561237E-005
   8.8888888888888892E-002  -3.6704489342575229E-005
   9.4444444444444456E-002  -3.5935627770801109E-005
  0.10000000000000002       -3.5123456075553492E-005
  0.10555555555555558       -3.4268569739810666E-005
  0.11111111111111115       -3.3371602552782934E-005
  0.11666666666666671       -3.2433227290032599E-005
  0.12222222222222227       -3.1454156423296429E-005
  0.12777777777777782       -3.0435142858959836E-005
  0.13333333333333339       -2.9376980703839458E-005
  0.13888888888888895       -2.8280506056527727E-005
  0.14444444444444451       -2.7146597822028294E-005
  0.15000000000000008       -2.5976178546748157E-005
  0.15555555555555564       -2.4770215270101158E-005
  0.16111111111111120       -2.3529720388013722E-005
  0.16666666666666677       -2.2255752522500557E-005
  0.17222222222222233       -2.0949417390202610E-005
  0.17777777777777790       -1.9611868661362617E-005
  0.18333333333333346       -1.8244308799171255E-005
  0.18888888888888902       -1.6847989867781414E-005
  0.19444444444444459       -1.5424214295594101E-005
  0.20000000000000015       -1.3974335578715929E-005
  0.20555555555555571       -1.2499758907830397E-005
  0.21111111111111128       -1.1001941700178660E-005
  0.21666666666666684       -9.4823940169786309E-006
  0.22222222222222240       -7.9426788454978568E-006
  0.22777777777777797       -6.3844122242072068E-006
  0.23333333333333353       -4.8092631890457508E-006
  0.23888888888888909       -3.2189535188811486E-006
  0.24444444444444466       -1.6152572587973246E-006
  0.25000000000000022       -9.0956096058034461E-016
  0.25555555555555576        1.6249420959978931E-006
  0.26111111111111135        3.2576435646122028E-006
  0.26666666666666689        4.8961311790362582E-006
  0.27222222222222248        6.5383858075797507E-006
  0.27777777777777801        8.1823445761284580E-006
  0.28333333333333360        9.8259033462775450E-006
  0.28888888888888914        1.1466919508738812E-005
  0.29444444444444473        1.3103215088831030E-005
  0.30000000000000027        1.4732580157240952E-005
  0.30555555555555586        1.6352776535792457E-005
  0.31111111111111139        1.7961541784765427E-005
  0.31666666666666698        1.9556593455425756E-005
  0.32222222222222252        2.1135633588910497E-005
  0.32777777777777811        2.2696353440481798E-005
  0.33333333333333365        2.4236438406429984E-005
  0.33888888888888924        2.5753573129559910E-005
  0.34444444444444478        2.7245446758217244E-005
  0.35000000000000037        2.8709758333169533E-005
  0.35555555555555590        3.0144222276315763E-005
  0.36111111111111149        3.1546573955115889E-005
  0.36666666666666703        3.2914575296768567E-005
  0.37222222222222262        3.4246020426481020E-005
  0.37777777777777816        3.5538741304634760E-005
  0.38333333333333375        3.6790613338221932E-005
  0.38888888888888928        3.7999560942583914E-005
  0.39444444444444487        3.9163563030205125E-005
  0.40000000000000041        4.0280658404082570E-005
  0.40555555555555600        4.1348951033996737E-005
  0.41111111111111154        4.2366615194839441E-005
  0.41666666666666713        4.3331900447008571E-005
  0.42222222222222267        4.4243136439753006E-005
  0.42777777777777826        4.5098737519243221E-005
  0.43333333333333379        4.5897207124057541E-005
  0.43888888888888938        4.6637141951707198E-005
  0.44444444444444492        4.7317235880782301E-005
  0.45000000000000051        4.7936283634285576E-005
  0.45555555555555605        4.8493184170729616E-005
  0.46111111111111164        4.8986943790614550E-005
  0.46666666666666717        4.9416678946970384E-005
  0.47222222222222276        4.9781618749745000E-005
  0.47777777777777830        5.0081107154944745E-005
  0.48333333333333389        5.0314604830585755E-005
  0.48888888888888943        5.0481690692689816E-005
  0.49444444444444502        5.0582063105759379E-005
