 k=    2.0000000000000000      a=   2.0000000000000000      b=   1.0000000000000000      r/b=   4.0000000000000000     
 x   TT
   4.0000000000000000       -6.6397605460177627E-004
   4.1000000014901161       -6.1017886604638094E-004
   4.2000000029802322       -5.6161230297606206E-004
   4.3000000044703484       -5.1768598552083230E-004
   4.4000000059604645       -4.7788508801192782E-004
   4.5000000074505806       -4.4175956700035114E-004
   4.6000000089406967       -4.0891507710623945E-004
   4.7000000104308128       -3.7900528719073687E-004
   4.8000000119209290       -3.5172536211689430E-004
   4.9000000134110451       -3.2680641777808861E-004
   5.0000000149011612       -3.0401079128492486E-004
   5.1000000163912773       -2.8312799590032996E-004
   5.2000000178813934       -2.6397125281665395E-004
   5.3000000193715096       -2.4637451021455593E-004
   5.4000000208616257       -2.3018987504884466E-004
   5.5000000223517418       -2.1528539531872145E-004
   5.6000000238418579       -2.0154314071358623E-004
   5.7000000253319740       -1.8885753789119297E-004
   5.8000000268220901       -1.7713392357102776E-004
   5.9000000283122063       -1.6628728437618454E-004
   6.0000000298023224       -1.5624115714436439E-004
   6.1000000312924385       -1.4692666742480235E-004
   6.2000000327825546       -1.3828168722226220E-004
   6.3000000342726707       -1.3025009585510499E-004
   6.4000000357627869       -1.2278113015423684E-004
   6.5000000372529030       -1.1582881221912184E-004
   6.6000000387430191       -1.0935144462799190E-004
   6.7000000402331352       -1.0331116442292614E-004
   6.8000000417232513       -9.7673548398646384E-005
   6.9000000432133675       -9.2407263251448606E-005
   7.0000000447034836       -8.7483755020480058E-005
   7.1000000461935997       -8.2876973001496076E-005
   7.2000000476837158       -7.8563123953223851E-005
   7.3000000491738319       -7.4520452965148027E-005
   7.4000000506639481       -7.0729047826822479E-005
   7.5000000521540642       -6.7170664144364540E-005
   7.6000000536441803       -6.3828568799392528E-005
   7.7000000551342964       -6.0687399647571875E-005
   7.8000000566244125       -5.7733039615088070E-005
   7.9000000581145287       -5.4952503577645260E-005
   8.0000000596046448       -5.2333836602973308E-005
   8.1000000610947609       -4.9866022308532314E-005
   8.2000000625848770       -4.7538900234722540E-005
   8.3000000640749931       -4.5343091263492805E-005
   8.4000000655651093       -4.3269930225396991E-005
   8.5000000670552254       -4.1311404937104659E-005
   8.6000000685453415       -3.9460100998031165E-005
   8.7000000700354576       -3.7709151750750882E-005
   8.8000000715255737       -3.6052192876594714E-005
   8.9000000730156898       -3.4483321156519844E-005
   9.0000000745058060       -3.2997056979010739E-005
   9.1000000759959221       -3.1588310222326143E-005
   9.2000000774860382       -3.0252349178619458E-005
   9.3000000789761543       -2.8984772223000716E-005
   9.4000000804662704       -2.7781481962058469E-005
   9.5000000819563866       -2.6638661624221296E-005
   9.6000000834465027       -2.5552753479052753E-005
   9.7000000849366188       -2.4520439094517178E-005
   9.8000000864267349       -2.3538621260762511E-005
   9.9000000879168510       -2.2604407426326999E-005
   10.000000089406967       -2.1715094508144076E-005
   10.100000090897083       -2.0868154950514155E-005
