 k=    5.0000000000000000      a=   5.0000000000000000      b=   1.0000000000000000      r/b=           8
 x   SS-8 b
   0.0000000000000000       -1.7625361816371913E-003
   5.5555555555555558E-003  -1.7619120263066659E-003
   1.1111111111111112E-002  -1.7600361211110934E-003
   1.6666666666666666E-002  -1.7568982276958123E-003
   2.2222222222222223E-002  -1.7524815416434640E-003
   2.7777777777777776E-002  -1.7467630659435058E-003
   3.3333333333333333E-002  -1.7397141039905343E-003
   3.8888888888888890E-002  -1.7313008460426323E-003
   4.4444444444444446E-002  -1.7214850202868762E-003
   5.0000000000000003E-002  -1.7102245794244602E-003
   5.5555555555555552E-002  -1.6974743956095478E-003
   6.1111111111111109E-002  -1.6831869402057964E-003
   6.6666666666666666E-002  -1.6673129295210003E-003
   7.2222222222222215E-002  -1.6498019228628966E-003
   7.7777777777777779E-002  -1.6306028644116903E-003
   8.3333333333333329E-002  -1.6096645651550404E-003
   8.8888888888888892E-002  -1.5869361252441375E-003
   9.4444444444444456E-002  -1.5623673005043756E-003
  0.10000000000000002       -1.5359088194633551E-003
  0.10555555555555558       -1.5075126592077087E-003
  0.11111111111111115       -1.4771322897359925E-003
  0.11666666666666671       -1.4447228973334697E-003
  0.12222222222222227       -1.4102415979273719E-003
  0.12777777777777782       -1.3736476514252783E-003
  0.13333333333333339       -1.3349026876890910E-003
  0.13888888888888895       -1.2939709540048341E-003
  0.14444444444444451       -1.2508195925963299E-003
  0.15000000000000008       -1.2054189548130359E-003
  0.15555555555555564       -1.1577429560413214E-003
  0.16111111111111120       -1.1077694721577272E-003
  0.16666666666666677       -1.0554807745926677E-003
  0.17222222222222233       -1.0008639970790116E-003
  0.17777777777777790       -9.4391162333975814E-004
  0.18333333333333346       -8.8462198182955476E-004
  0.18888888888888902       -8.2299973168271771E-004
  0.19444444444444459       -7.5905632359525750E-004
  0.20000000000000015       -6.9281042059077833E-004
  0.20555555555555571       -6.2428826629996046E-004
  0.21111111111111128       -5.5352399206396341E-004
  0.21666666666666684       -4.8055985824487770E-004
  0.22222222222222240       -4.0544642897984747E-004
  0.22777777777777797       -3.2824268277265744E-004
  0.23333333333333353       -2.4901606351062489E-004
  0.23888888888888909       -1.6784247767802894E-004
  0.24444444444444466       -8.4806243833368523E-005
  0.25000000000000022       -4.8081130617493685E-014
  0.25555555555555576        8.6475425782562299E-005
  0.26111111111111135        1.7451117882571159E-004
  0.26666666666666689        2.6399057046464083E-004
  0.27222222222222248        3.5478929969808573E-004
  0.27777777777777801        4.4677570151611614E-004
  0.28333333333333360        5.3981102155846407E-004
  0.28888888888888914        6.3374971676178834E-004
  0.29444444444444473        7.2843978194691216E-004
  0.30000000000000027        8.2372310241062539E-004
  0.30555555555555586        9.1943583259449077E-004
  0.31111111111111139        1.0154088008303770E-003
  0.31666666666666698        1.1114679400291800E-003
  0.32222222222222252        1.2074347440023940E-003
  0.32777777777777811        1.3031267489010063E-003
  0.33333333333333365        1.3983580390306569E-003
  0.33888888888888924        1.4929397760675579E-003
  0.34444444444444478        1.5866807504600294E-003
  0.35000000000000037        1.6793879535625653E-003
  0.35555555555555590        1.7708671688153742E-003
  0.36111111111111149        1.8609235800575925E-003
  0.36666666666666703        1.9493623948470147E-003
  0.37222222222222262        2.0359894804577263E-003
  0.37777777777777816        2.1206120100404268E-003
  0.38333333333333375        2.2030391162590661E-003
  0.38888888888888928        2.2830825495672538E-003
  0.39444444444444487        2.3605573381538939E-003
  0.40000000000000041        2.4352824464781942E-003
  0.40555555555555600        2.5070814292244572E-003
  0.41111111111111154        2.5757830774423523E-003
  0.41666666666666713        2.6412220535962259E-003
  0.42222222222222267        2.7032395122329978E-003
  0.42777777777777826        2.7616837029826422E-003
  0.43333333333333379        2.8164105526463294E-003
  0.43888888888888938        2.8672842231805620E-003
  0.44444444444444492        2.9141776424788280E-003
  0.45000000000000051        2.9569730049556183E-003
  0.45555555555555605        2.9955622390820400E-003
  0.46111111111111164        3.0298474391715238E-003
  0.46666666666666717        3.0597412589066500E-003
  0.47222222222222276        3.0851672642905319E-003
  0.47777777777777830        3.1060602439379656E-003
  0.48333333333333389        3.1223664748559698E-003
  0.48888888888888943        3.1340439421205383E-003
  0.49444444444444502        3.1410625111320755E-003
