 k=    2.0000000000000000      a=   2.0000000000000000      b=   1.0000000000000000      r=           4
 x   TT-4
   0.0000000000000000       -6.6397605460177627E-004
   5.5555555555555558E-003  -6.6345654733048702E-004
   1.1111111111111112E-002  -6.6189992407469683E-004
   1.6666666666666666E-002  -6.5931186245761345E-004
   2.2222222222222223E-002  -6.5570176524043717E-004
   2.7777777777777776E-002  -6.5108267119817829E-004
   3.3333333333333333E-002  -6.4547113193422266E-004
   3.8888888888888890E-002  -6.3888705623063027E-004
   4.4444444444444446E-002  -6.3135352399584332E-004
   5.0000000000000003E-002  -6.2289657233585531E-004
   5.5555555555555552E-002  -6.1354495673205691E-004
   6.1111111111111109E-002  -6.0332989074836222E-004
   6.6666666666666666E-002  -5.9228476809794202E-004
   7.2222222222222215E-002  -5.8044487125899730E-004
   7.7777777777777779E-002  -5.6784707112036384E-004
   8.3333333333333329E-002  -5.5452952234165886E-004
   8.8888888888888892E-002  -5.4053135921027797E-004
   9.4444444444444456E-002  -5.2589239675325365E-004
  0.10000000000000002       -5.1065284170504757E-004
  0.10555555555555558       -4.9485301763904296E-004
  0.11111111111111115       -4.7853310814519989E-004
  0.11666666666666671       -4.6173292139189547E-004
  0.12222222222222227       -4.4449167876754205E-004
  0.12777777777777782       -4.2684782958506368E-004
  0.13333333333333339       -4.0883889308231602E-004
  0.13888888888888895       -3.9050132819874007E-004
  0.14444444444444451       -3.7187043088680860E-004
  0.15000000000000008       -3.5298025805657142E-004
  0.15555555555555564       -3.3386357667764032E-004
  0.16111111111111120       -3.1455183609297067E-004
  0.16666666666666677       -2.9507516124275797E-004
  0.17222222222222233       -2.7546236425704865E-004
  0.17777777777777790       -2.5574097174784903E-004
  0.18333333333333346       -2.3593726510564805E-004
  0.18888888888888902       -2.1607633116752138E-004
  0.19444444444444459       -1.9618212075803637E-004
  0.20000000000000015       -1.7627751279300518E-004
  0.20555555555555571       -1.5638438186293645E-004
  0.21111111111111128       -1.3652366746244918E-004
  0.21666666666666684       -1.1671544329052039E-004
  0.22222222222222240       -9.6978985303130202E-005
  0.22777777777777797       -7.7332837446001201E-005
  0.23333333333333353       -5.7794874224364954E-005
  0.23888888888888909       -3.8382359474838649E-005
  0.24444444444444466       -1.9112000889177115E-005
  0.25000000000000022        6.9283985611174682E-019
  0.25555555555555576        1.8937902525158865E-005
  0.26111111111111135        3.7686386321799574E-005
  0.26666666666666689        5.6230515446692729E-005
  0.27222222222222248        7.4555707051754188E-005
  0.27777777777777801        9.2647704432998081E-005
  0.28333333333333360        1.1049255423272278E-004
  0.28888888888888914        1.2807658754430558E-004
  0.29444444444444473        1.4538640465062790E-004
  0.30000000000000027        1.6240886311733236E-004
  0.30555555555555586        1.7913106895918658E-004
  0.31111111111111139        1.9554037060029331E-004
  0.31666666666666698        2.1162435535549743E-004
  0.32222222222222252        2.2737084817004916E-004
  0.32777777777777811        2.4276791236644616E-004
  0.33333333333333365        2.5780385216076125E-004
  0.33888888888888924        2.7246721672496087E-004
  0.34444444444444478        2.8674680558635944E-004
  0.35000000000000037        3.0063167517005722E-004
  0.35555555555555590        3.1411114630460905E-004
  0.36111111111111149        3.2717481252522897E-004
  0.36666666666666703        3.3981254902223684E-004
  0.37222222222222262        3.5201452209520398E-004
  0.37777777777777816        3.6377119898527236E-004
  0.38333333333333375        3.7507335796935345E-004
  0.38888888888888928        3.8591209861037483E-004
  0.39444444444444487        3.9627885206743133E-004
  0.40000000000000041        4.0616539137872088E-004
  0.40555555555555600        4.1556384163822269E-004
  0.41111111111111154        4.2446668999488704E-004
  0.41666666666666713        4.3286679540980341E-004
  0.42222222222222267        4.4075739811339800E-004
  0.42777777777777826        4.4813212871035852E-004
  0.43333333333333379        4.5498501688538766E-004
  0.43888888888888938        4.6131049966782116E-004
  0.44444444444444492        4.6710342921746535E-004
  0.45000000000000051        4.7235908009828764E-004
  0.45555555555555605        4.7707315601019381E-004
  0.46111111111111164        4.8124179595276359E-004
  0.46666666666666717        4.8486157979792918E-004
  0.47222222222222276        4.8792953325158835E-004
  0.47777777777777830        4.9044313218698100E-004
  0.48333333333333389        4.9240030633525311E-004
  0.48888888888888943        4.9379944232107609E-004
  0.49444444444444502        4.9463938603362570E-004
