          50   665.15584574059551     
         100   616.92583401805268     
         150   573.72464375762638     
         200   541.07754174439390     
         250   510.50308863339569     
         300   478.10373650112575     
         350   441.69256960076081     
         400   407.99372589183878     
         450   375.77801087931795     
         500   345.71114031985132     
         550   313.33694787738750     
         600   282.14027117329618     
         650   253.31337638328975     
         700   227.12393270309295     
         750   200.77369113860118     
         800   174.22987530906695     
         850   147.48876156933625     
         900   118.78637116605395     
         950   90.952351849732992     
        1000   63.122144372756480     
        1050   35.755200198956516     
        1100   8.5502968177067569     
        1150  -17.701111356773122     
        1200  -43.330163568073857     
        1250  -68.235374516495042     
        1300  -92.321602286054187     
        1350  -115.89525865364340     
        1400  -139.03918590188434     
        1450  -161.27366693913990     
        1500  -183.00751159231007     
        1550  -205.66516327183152     
        1600  -229.01519609869234     
        1650  -252.24577412237218     
        1700  -274.36314146242370     
        1750  -295.63886098326287     
        1800  -316.45114507105495     
        1850  -337.47498758427366     
        1900  -357.98922187481855     
        1950  -378.19622383493311     
        2000  -397.85719069657881     
        2050  -416.92264251389219     
        2100  -436.46721965547556     
        2150  -455.92565980716006     
        2200  -474.83079795363994     
        2250  -493.29514151077649     
        2300  -511.40236114915291     
        2350  -529.18944277814830     
        2400  -547.35742731648668     
        2450  -565.36064947234036     
        2500  -583.03718872242519     
        2550  -600.42139189043246     
        2600  -617.73278155279922     
        2650  -635.26262411064158     
        2700  -652.48503051799696     
        2750  -669.70719554137656     
        2800  -687.03307969083733     
        2850  -704.51452808863621     
        2900  -721.96261175310372     
        2950  -739.50244781041783     
        3000  -757.32649578549524     
        3050  -775.39927476293099     
        3100  -793.43411689120512     
        3150  -811.34865886796274     
        3200  -829.43364264911168     
        3250  -847.45008501466702     
        3300  -865.47472546226231     
        3350  -883.66801661105274     
        3400  -901.66657011692405     
        3450  -919.40946348169007     
        3500  -936.95068440240766     
        3550  -954.62904625486317     
        3600  -972.00297396643123     
        3650  -989.16408185869318     
        3700  -1006.2216701501745     
        3750  -1023.2644811950842     
        3800  -1040.0679619719253     
        3850  -1056.8206519168155     
        3900  -1073.3272788751947     
        3950  -1089.5604728464571     
        4000  -1105.8323865882726     
        4050  -1122.0921092360777     
        4100  -1138.1006468767102     
        4150  -1153.9434890943728     
        4200  -1169.6438358095106     
        4250  -1185.1584100916298     
        4300  -1200.3824303095839     
        4350  -1215.3282126791159     
        4400  -1230.4270420191742     
        4450  -1245.6256508773890     
        4500  -1260.7066691991438     
        4550  -1275.9155855500856     
        4600  -1291.1372384971130     
        4650  -1306.2121540062612     
        4700  -1321.1924946812942     
        4750  -1335.9124218196660     
        4800  -1350.5684906312133     
        4850  -1365.5069297473431     
        4900  -1380.2987146779196     
        4950  -1395.0959759433729     
        5000  -1409.9979225713357     
        5050  -1424.7607384800028     
        5100  -1439.4054916070922     
        5150  -1453.8775817875219     
        5200  -1468.2064772352526     
        5250  -1482.4019136799384     
        5300  -1496.5613969616365     
        5350  -1510.5241392685491     
        5400  -1524.2846222654050     
        5450  -1537.8269710214045     
        5500  -1551.2274970942165     
        5550  -1564.4744510103249     
        5600  -1577.7201950095186     
        5650  -1590.8168400688485     
        5700  -1603.7170152763631     
        5750  -1616.4187591949881     
        5800  -1629.0703116247423     
        5850  -1641.6427588593265     
        5900  -1654.0961185767706     
        5950  -1666.3532070798703     
        6000  -1678.4542054902288     
        6050  -1690.6688305139858     
        6100  -1702.7864140057175     
        6150  -1714.7405499960232     
        6200  -1726.6646834482788     
        6250  -1738.4708892837605     
        6300  -1750.1323534885964     
        6350  -1761.6960617890716     
        6400  -1773.2352818075165     
        6450  -1784.6412333995333     
        6500  -1795.9308494084516     
        6550  -1807.1052050686042     
        6600  -1818.2045515918940     
        6650  -1829.2136007726606     
        6700  -1840.1016957489444     
        6750  -1850.8929537131496     
        6800  -1861.6211576669430     
        6850  -1872.2308514611682     
        6900  -1882.7398710408261     
        6950  -1893.1405272814229     
        7000  -1903.4391331736222     
        7050  -1913.6027992106954     
        7100  -1923.6664684914565     
        7150  -1933.6995830024841     
        7200  -1943.6817200949829     
        7250  -1953.5340053561533     
        7300  -1963.4357149544135     
        7350  -1973.2818545719663     
        7400  -1983.0697985864610     
        7450  -1992.8789678298192     
        7500  -2002.6937215774838     
        7550  -2012.3812502070550     
        7600  -2021.9548518477716     
        7650  -2031.4426687404732     
        7700  -2040.8294739480962     
        7750  -2050.1321791540704     
        7800  -2059.3894410169823     
        7850  -2068.5551190246520     
        7900  -2077.6127911135804     
        7950  -2086.6242102475171     
        8000  -2095.5830066009489     
        8050  -2104.4600587046889     
        8100  -2113.3078912321284     
        8150  -2122.1061118067601     
        8200  -2130.8330969940134     
        8250  -2139.4999412967773     
        8300  -2148.1112404790269     
        8350  -2156.6484018611195     
        8400  -2165.1298076880503     
        8450  -2173.5234840966955     
        8500  -2181.9308231772407     
        8550  -2190.3009531265866     
        8600  -2198.6064545179793     
        8650  -2206.8255159330683     
        8700  -2215.0403190941447     
        8750  -2223.3038491249476     
        8800  -2231.5119338709328     
        8850  -2239.6582237750499     
        8900  -2247.7781442606588     
        8950  -2255.9221423301638     
        9000  -2264.0559146800283     
        9050  -2272.1450059641020     
        9100  -2280.1660200051529     
        9150  -2288.1187226100301     
        9200  -2296.0263943238951     
        9250  -2303.8847689657828     
        9300  -2311.7103891120564     
        9350  -2319.5518779585518     
        9400  -2327.3705482667333     
        9450  -2335.1626007287150     
        9500  -2342.9055432425821     
        9550  -2350.6202715736476     
        9600  -2358.2820902801291     
        9650  -2365.9049980699133     
        9700  -2373.5168477531251     
