 k=    5.0000000000000000      a=   5.0000000000000000      b=   1.0000000000000000      r=   6.0000000000000000     
 x   ST
   6.0000000000000000        7.6313195485622912E-003
   6.2000000029802322        6.9156678510992461E-003
   6.4000000059604645        6.2825352148931897E-003
   6.6000000089406967        5.7207131269877178E-003
   6.8000000119209290        5.2207350652922185E-003
   7.0000000149011612        4.7745731638133369E-003
   7.2000000178813934        4.3753931271396894E-003
   7.4000000208616257        4.0173552104961008E-003
   7.6000000238418579        3.6954518301297178E-003
   7.8000000268220901        3.4053744539477371E-003
   8.0000000298023224        3.1434040142955004E-003
   8.2000000327825546        2.9063203075512197E-003
   8.4000000357627869        2.6913267898684627E-003
   8.6000000387430191        2.4959879122237734E-003
   8.8000000417232513        2.3181767110005869E-003
   9.0000000447034836        2.1560308201518407E-003
   9.2000000476837158        2.0079154257676133E-003
   9.4000000506639481        1.8723919650173143E-003
   9.6000000536441803        1.7481915952270144E-003
   9.8000000566244125        1.6341926377628391E-003
   10.000000059604645        1.5294013450178931E-003
   10.200000062584877        1.4329354545648909E-003
   10.400000065565109        1.3440100882054977E-003
   10.600000068545341        1.2619256297209526E-003
   10.800000071525574        1.1860572771348785E-003
   11.000000074505806        1.1158460160153694E-003
   11.200000077486038        1.0507908019650090E-003
   11.400000080466270        9.9044177471633785E-004
   11.600000083446503        9.3439435455420128E-004
   11.800000086426735        8.8228409523500337E-004
   12.000000089406967        8.3378218705626374E-004
   12.200000092387199        7.8859151996502660E-004
   12.400000095367432        7.4644323015952497E-004
   12.600000098347664        7.0709366500453614E-004
   12.800000101327896        6.7032171062858656E-004
   13.000000104308128        6.3592643461183207E-004
   13.200000107288361        6.0372500296159630E-004
   13.400000110268593        5.7355083631702110E-004
   13.600000113248825        5.4525197519680250E-004
   13.800000116229057        5.1868962824632467E-004
   14.000000119209290        4.9373688096975173E-004
   14.200000122189522        4.7027754544604728E-004
   14.400000125169754        4.4820513410616668E-004
   14.600000128149986        4.2742194285915201E-004
   14.800000131130219        4.0783823075375253E-004
   15.000000134110451        3.8937148499658489E-004
   15.200000137090683        3.7194576155717604E-004
   15.400000140070915        3.5549109280777653E-004
   15.600000143051147        3.3994295469952883E-004
   15.800000146031380        3.2524178689007945E-004
   16.000000149011612        3.1133256003104215E-004
   16.200000151991844        2.9816438511379726E-004
   16.400000154972076        2.8569016037336906E-004
   16.600000157952309        2.7386625177482299E-004
   16.800000160932541        2.6265220356521589E-004
   17.000000163912773        2.5201047577556288E-004
   17.200000166893005        2.4190620590919322E-004
   17.400000169873238        2.3230699236181170E-004
   17.600000172853470        2.2318269739019555E-004
   17.800000175833702        2.1450526768557041E-004
