 k=    2.0000000000000000      a=   4.0000000000000000      b=   2.0000000000000000      r=   3.0000000000000000     
 x   ST
   3.0000000000000000        5.6638702268314830E-003
   3.1000000014901161        4.9479669499387880E-003
   3.2000000029802322        4.3395757898385947E-003
   3.3000000044703484        3.8201309980175706E-003
   3.4000000059604645        3.3746690021339370E-003
   3.5000000074505806        2.9910565362074072E-003
   3.6000000089406967        2.6593990285652723E-003
   3.7000000104308128        2.3715838476907722E-003
   3.8000000119209290        2.1209252334416224E-003
   3.9000000134110451        1.9018864715764654E-003
   4.0000000149011612        1.7098611588441479E-003
   4.1000000163912773        1.5409999749772707E-003
   4.2000000178813934        1.3920727239693626E-003
   4.3000000193715096        1.2603578761066667E-003
   4.4000000208616257        1.1435536774532904E-003
   4.5000000223517418        1.0397062670306589E-003
   4.6000000238418579        9.4715127673148541E-004
   4.7000000253319740        8.6446617352946254E-004
   4.8000000268220901        7.9043120191313787E-004
   4.9000000283122063        7.2399724349513756E-004
   5.0000000298023224        6.6425926482590236E-004
   5.1000000312924385        6.1043429901785700E-004
   5.2000000327825546        5.6184312079712753E-004
   5.3000000342726707        5.1789494222157645E-004
   5.4000000357627869        4.7807458820945650E-004
   5.5000000372529030        4.4193171529260798E-004
   5.6000000387430191        4.0907171979125319E-004
   5.7000000402331352        3.7914804760779861E-004
   5.8000000417232513        3.5185567067012652E-004
   5.9000000432133675        3.2692553751279251E-004
   6.0000000447034836        3.0411983973348353E-004
   6.1000000461935997        2.8322796378984577E-004
   6.2000000476837158        2.6406302012909407E-004
   6.3000000491738319        2.4645886000736650E-004
   6.4000000506639481        2.3026750537615090E-004
   6.5000000521540642        2.1535692953747145E-004
   6.6000000536441803        2.0160913641303294E-004
   6.7000000551342964        1.8891849464611272E-004
   6.8000000566244125        1.7719028968756132E-004
   6.9000000581145287        1.6633946277298979E-004
   7.0000000596046448        1.5628951048993764E-004
   7.1000000610947609        1.4697152263356384E-004
   7.2000000625848770        1.3832333939670929E-004
   7.3000000640749931        1.3028881174848519E-004
   7.4000000655651093        1.2281715121737437E-004
   7.5000000670552254        1.1586235728589675E-004
   7.6000000685453415        1.0938271228624743E-004
   7.7000000700354576        1.0334033511102921E-004
   7.8000000715255737        9.7700786262360791E-005
   7.9000000730156898        9.2432717791043114E-005
   8.0000000745058060        8.7507562553950432E-005
   8.1000000759959221        8.2899257966324768E-005
   8.2000000774860382        7.8584000066140485E-005
   8.3000000789761543        7.4540024256814196E-005
   8.4000000804662704        7.0747409566180157E-005
   8.5000000819563866        6.7187903665506254E-005
   8.6000000834465027        6.3844766242188982E-005
   8.7000000849366188        6.0702628621889618E-005
   8.8000000864267349        5.7747367797214940E-005
   8.9000000879168510        5.4965993246489226E-005
   9.0000000894069672        5.2346545122684558E-005
   9.1000000908970833        4.9878002563403001E-005
   9.2000000923871994        4.7550201021525737E-005
   9.3000000938773155        4.5353757645816125E-005
   9.4000000953674316        4.3280003853998879E-005
   9.5000000968575478        4.1320924339857420E-005
   9.6000000983476639        3.9469101842610386E-005
   9.7000000998377800        3.7717667082874235E-005
   9.8000001013278961        3.6060253336300976E-005
   9.9000001028180122        3.4490955174703435E-005
   10.000000104308128        3.3004290956184850E-005
   10.100000105798244        3.1595168691373572E-005
