 k=    5.0000000000000000      a=   10.000000000000000      b=   2.0000000000000000      r=          12
 x   TT-12b
   0.0000000000000000       -2.7108705481948560E-003
   5.5555555555555558E-003  -2.7053615317784011E-003
   1.1111111111111112E-002  -2.6889763385909908E-003
   1.6666666666666666E-002  -2.6621346642561289E-003
   2.2222222222222223E-002  -2.6255160025749199E-003
   2.7777777777777776E-002  -2.5800284562666467E-003
   3.3333333333333333E-002  -2.5267637091437489E-003
   3.8888888888888890E-002  -2.4669389758039126E-003
   4.4444444444444446E-002  -2.4018293807100467E-003
   5.0000000000000003E-002  -2.3326971824265503E-003
   5.5555555555555552E-002  -2.2607261953348995E-003
   6.1111111111111109E-002  -2.1869694779374882E-003
   6.6666666666666666E-002  -2.1123156695640869E-003
   7.2222222222222215E-002  -2.0374753076595575E-003
   7.7777777777777779E-002  -1.9629846510740142E-003
   8.3333333333333329E-002  -1.8892221760459867E-003
   8.8888888888888892E-002  -1.8164323058225836E-003
   9.4444444444444456E-002  -1.7447516501169404E-003
  0.10000000000000002       -1.6742343721102657E-003
  0.10555555555555558       -1.6048746916617149E-003
  0.11111111111111115       -1.5366256556761735E-003
  0.11666666666666671       -1.4694140668277879E-003
  0.12222222222222227       -1.4031518974721956E-003
  0.12777777777777782       -1.3377447129453695E-003
  0.13333333333333339       -1.2730976745999976E-003
  0.13888888888888895       -1.2091196558924983E-003
  0.14444444444444451       -1.1457259303814713E-003
  0.15000000000000008       -1.0828398060132151E-003
  0.15555555555555564       -1.0203935000203646E-003
  0.16111111111111120       -9.5832847951608032E-004
  0.16666666666666677       -8.9659543618395726E-004
  0.17222222222222233       -8.3515401874522288E-004
  0.17777777777777790       -7.7397241252574625E-004
  0.18333333333333346       -7.1302682956629648E-004
  0.18888888888888902       -6.5230095353809969E-004
  0.19444444444444459       -5.9178536969175133E-004
  0.20000000000000015       -5.3147699994203045E-004
  0.20555555555555571       -4.7137855594181716E-004
  0.21111111111111128       -4.1149801790859474E-004
  0.21666666666666684       -3.5184814341725500E-004
  0.22222222222222240       -2.9244600795304493E-004
  0.22777777777777797       -2.3331257740789128E-004
  0.23333333333333353       -1.7447231165662488E-004
  0.23888888888888909       -1.1595279771519981E-004
  0.24444444444444466       -5.7784410620120602E-005
  0.25000000000000022        2.0966637608712179E-018
  0.25555555555555576        5.7365399732334503E-005
  0.26111111111111135        1.1427483759420043E-004
  0.26666666666666689        1.7068969458781770E-004
  0.27222222222222248        2.2656991440506700E-004
  0.27777777777777801        2.8187421795202182E-004
  0.28333333333333360        3.3656030321695525E-004
  0.28888888888888914        3.9058503186210815E-004
  0.29444444444444473        4.4390460378547530E-004
  0.30000000000000027        4.9647472076134937E-004
  0.30555555555555586        5.4825074015118287E-004
  0.31111111111111139        5.9918781958202166E-004
  0.31666666666666698        6.4924105334519106E-004
  0.32222222222222252        6.9836560124298341E-004
  0.32777777777777811        7.4651681045137639E-004
  0.33333333333333365        7.9365033098559984E-004
  0.33888888888888924        8.3972222518378676E-004
  0.34444444444444478        8.8468907168296341E-004
  0.35000000000000037        9.2850806418135455E-004
  0.35555555555555590        9.7113710536484744E-004
  0.36111111111111149        1.0125348962629016E-003
  0.36666666666666703        1.0526610212128679E-003
  0.37222222222222262        1.0914760287169527E-003
  0.37777777777777816        1.1289415083667864E-003
  0.38333333333333375        1.1650201639583117E-003
  0.38888888888888928        1.1996758828732154E-003
  0.39444444444444487        1.2328738020410540E-003
  0.40000000000000041        1.2645803703710142E-003
  0.40555555555555600        1.2947634078371557E-003
  0.41111111111111154        1.3233921613000793E-003
  0.41666666666666713        1.3504373570515445E-003
  0.42222222222222267        1.3758712502265069E-003
  0.42777777777777826        1.3996676711300008E-003
  0.43333333333333379        1.4218020683480627E-003
  0.43888888888888938        1.4422515489008467E-003
  0.44444444444444492        1.4609949153071172E-003
  0.45000000000000051        1.4780126996706434E-003
  0.45555555555555605        1.4932871947287904E-003
  0.46111111111111164        1.5068024818404387E-003
  0.46666666666666717        1.5185444563277188E-003
  0.47222222222222276        1.5285008492807450E-003
  0.47777777777777830        1.5366612469772376E-003
  0.48333333333333389        1.5430171069906393E-003
  0.48888888888888943        1.5475617714367333E-003
  0.49444444444444502        1.5502904773705578E-003
