 k=    2.0000000000000000      a=   2.0000000000000000      b=   1.0000000000000000      r/b=   3.0000000000000000     
 x   ST
   3.0000000000000000        1.1926637044179997E-003
   3.1000000014901161        1.0834004304327864E-003
   3.2000000029802322        9.8612127643706872E-004
   3.3000000044703484        8.9930377303844625E-004
   3.4000000059604645        8.2164427862107636E-004
   3.5000000074505806        7.5202301203197730E-004
   3.6000000089406967        6.8947521365780233E-004
   3.7000000104308128        6.3316726948660915E-004
   3.8000000119209290        5.8237687111810225E-004
   3.9000000134110451        5.3647647099370154E-004
   4.0000000149011612        4.9491943843202909E-004
   4.1000000163912773        4.5722843749035732E-004
   4.2000000178813934        4.2298563914875542E-004
   4.3000000193715096        3.9182445311327204E-004
   4.4000000208616257        3.6342252270900430E-004
   4.5000000223517418        3.3749577300591101E-004
   4.6000000238418579        3.1379333990748203E-004
   4.7000000253319740        2.9209323831515672E-004
   4.8000000268220901        2.7219865212839531E-004
   4.9000000283122063        2.5393474890345714E-004
   5.0000000298023224        2.3714593838032588E-004
   5.1000000312924385        2.2169350751396940E-004
   5.2000000327825546        2.0745357568224595E-004
   5.3000000342726707        1.9431532284149247E-004
   5.4000000357627869        1.8217945092431623E-004
   5.5000000372529030        1.7095684501286347E-004
   5.6000000387430191        1.6056740600856555E-004
   5.7000000402331352        1.5093903084472478E-004
   5.8000000417232513        1.4200671990408537E-004
   5.9000000432133675        1.3371179433380363E-004
   6.0000000447034836        1.2600120849607478E-004
   6.1000000461935997        1.1882694493665822E-004
   6.2000000476837158        1.1214548106332213E-004
   6.3000000491738319        1.0591731825735265E-004
   6.4000000506639481        1.0010656543953640E-004
   6.5000000521540642        9.4680570215180691E-005
   6.6000000536441803        8.9609591662104010E-005
   6.7000000551342964        8.4866509627032723E-005
   6.8000000566244125        8.0426566081100227E-005
   6.9000000581145287        7.6267134672141352E-005
   7.0000000596046448        7.2367515115260214E-005
   7.1000000610947609        6.8708749496318097E-005
   7.2000000625848770        6.5273457936107908E-005
   7.3000000640749931        6.2045691384947076E-005
   7.4000000655651093        5.9010799595721285E-005
   7.5000000670552254        5.6155312564372822E-005
   7.6000000685453415        5.3466833935804797E-005
   7.7000000700354576        5.0933945054699558E-005
   7.8000000715255737        4.8546118498681095E-005
   7.9000000730156898        4.6293640068865977E-005
   8.0000000745058060        4.4167538332936516E-005
   8.1000000759959221        4.2159520920821975E-005
   8.2000000774860382        4.0261916864928353E-005
   8.3000000789761543        3.8467624357358867E-005
   8.4000000804662704        3.6770063367221689E-005
   8.5000000819563866        3.5163132623212937E-005
   8.6000000834465027        3.3641170521301498E-005
   8.7000000849366188        3.2198919565487964E-005
   8.8000000864267349        3.0831493992084282E-005
   8.9000000879168510        2.9534350265480817E-005
   9.0000000894069672        2.8303260166551239E-005
   9.1000000908970833        2.7134286224228436E-005
   9.2000000923871994        2.6023759266833557E-005
   9.3000000938773155        2.4968257892858963E-005
   9.4000000953674316        2.3964589681448283E-005
   9.5000000968575478        2.3009773981089183E-005
   9.6000000983476639        2.2101026131305985E-005
   9.7000000998377800        2.1235742986644399E-005
   9.8000001013278961        2.0411489625184403E-005
   9.9000001028180122        1.9625987135380008E-005
   10.000000104308128        1.8877101385363632E-005
   10.100000105798244        1.8162832688107417E-005
